Sector,Gebied
SECTOROVERSTIJGEND,sectoroverstijgend
ECONOMIE,economie
ECONOMIE,bedrijfskunde
ECONOMIE,"ondernemen, management en marketing"
ECONOMIE,accountancy en actuaris
ECONOMIE,"hotel, facility en toerisme"
ECONOMIE,journalistiek en communicatie
ECONOMIE,economie overig
GEDRAG EN MAATSCHAPPIJ,psychologie
GEDRAG EN MAATSCHAPPIJ,pedagogische opleidingen
GEDRAG EN MAATSCHAPPIJ,sociale wetenschappen
GEDRAG EN MAATSCHAPPIJ,geografie
GEDRAG EN MAATSCHAPPIJ,politicologie en bestuurskundige opleidingen
GEDRAG EN MAATSCHAPPIJ,maatschappelijke hulp en dienstverlening
GEDRAG EN MAATSCHAPPIJ,gedrag en maatschappij overig
GEZONDHEIDSZORG,geneeskunde
GEZONDHEIDSZORG,verlos- en verpleegkunde
GEZONDHEIDSZORG,tandheelkunde
GEZONDHEIDSZORG,diagnostiek en behandeling
GEZONDHEIDSZORG,onderzoek en ontwikkeling
GEZONDHEIDSZORG,gezondheid
GEZONDHEIDSZORG,gezondheidszorg overig
LANDBOUW EN NATUURLIJKE OMGEVING,landschap
LANDBOUW EN NATUURLIJKE OMGEVING,voedsel en dierhouderij
LANDBOUW EN NATUURLIJKE OMGEVING,biologie en biotechnologie
LANDBOUW EN NATUURLIJKE OMGEVING,economie en de maatschappij
LANDBOUW EN NATUURLIJKE OMGEVING,landbouw overig
NATUUR,"biologie, scheikunde en medisch"
NATUUR,"wiskunde, natuurkunde en informatica"
NATUUR,aardwetenschappen
NATUUR,multidisciplinaire natuurwetenschappen
NATUUR,natuur overig
ONDERWIJS,"lerarenopleiding
basisonderwijs"
ONDERWIJS,2e graads lerarenopleiding
ONDERWIJS,kunst/lichamelijke opvoeding
ONDERWIJS,1e graad lerarenopleiding
ONDERWIJS,universitaire lerarenopleidingen
ONDERWIJS,professionalisering
ONDERWIJS,onderwijsondersteuner
ONDERWIJS,educatie overig
RECHT,rechtsgeleerdheid algemeen
RECHT,publiekrecht
RECHT,fiscaal recht
RECHT,privaatrecht
RECHT,notarieel recht
RECHT,internationaal recht
RECHT,recht overig
TAAL EN CULTUUR,kunst
TAAL EN CULTUUR,talen
TAAL EN CULTUUR,filosofie en ethiek
TAAL EN CULTUUR,religie
TAAL EN CULTUUR,geschiedenis en archeologie
TAAL EN CULTUUR,"journalistiek, communicatie en media"
TAAL EN CULTUUR,taal en cultuur overig
TECHNIEK,"biologie, scheikunde en medisch"
TECHNIEK,"wiskunde, natuurkunde en informatica"
TECHNIEK,bouwkunde en civiel techniek
TECHNIEK,ontwerp-opleidingen
TECHNIEK,techniek en de maatschappij
TECHNIEK,techniek overig
