Gemeentenaam,Lat,Long
S-GRAVENHAGE,52.0704978,4.3006999
S-HERTOGENBOSCH,51.6978162,5.3036748
ALKMAAR,52.6323813,4.7533754
ALMERE,52.3507849,5.2647016
AMERSFOORT,52.1561113,5.3878266
AMSTERDAM,52.3702157,4.8951679
APELDOORN,52.211157,5.9699231
ARNHEM,51.9851034,5.8987296
ASSEN,52.992753,6.5642284
BREDA,51.5719149,4.768323
DELFT,52.0115769,4.3570677
DEVENTER,52.2660751,6.1552165
DIEMEN,52.3389926,4.9591888
DOETINCHEM,51.9646995,6.2937736
DORDRECHT,51.8132979,4.6900929
DRONTEN,52.5346819,5.7218086
EDE,52.0401675,5.6648594
EINDHOVEN,51.441642,5.4697225
EMMEN,52.7858037,6.8975851
ENSCHEDE,52.2215372,6.8936619
GOUDA,52.0115205,4.7104633
GRONINGEN,53.2193835,6.5665018
HAARLEM,52.3873878,4.6462194
HEERLEN,50.8881742,5.9794988
HELMOND,51.4792547,5.6570096
KAMPEN,52.5579645,5.9144617
LEEUWARDEN,53.2012334,5.7999133
LEIDEN,52.1601144,4.4970097
MAASTRICHT,50.8513682,5.6909725
MEPPEL,52.6921234,6.1937187
MIDDELBURG,51.4987962,3.610998
NIJMEGEN,51.8125626,5.8372264
RHEDEN,52.0057368,6.0279594
ROOSENDAAL,51.535849,4.4653213
ROTTERDAM,51.9244201,4.4777325
SITTARD-GELEEN,51.0031681,5.8236706
TERSCHELLING,53.3978747,5.3466786
TILBURG,51.560596,5.0919143
UTRECHT,52.0907374,5.1214201
VEGHEL,51.6157885,5.5392399
VELSEN,52.4520591,4.630587
VENLO,51.3703748,6.1724031
VLISSINGEN,51.4536672,3.5709125
WAGENINGEN,51.9691868,5.6653948
ZOETERMEER,52.060669,4.494025
ZWOLLE,52.5167747,6.0830219
